	statement	label	article_summary	final_label	0	1	2	3	4
23	“Zach Nunn took money from Adventureland’s CEO, then sponsored legislation to loosen amusement park safety rules. A child died. Zach Nunn put his big donor first, ahead of the safety of Iowa families.”	barely-true	An attack ad in Iowa's 3rd Congressional District campaign criticizes Zach Nunn, the Republican nominee, accusing him of prioritizing a big donor over the safety of Iowa families. The ad claims that Nunn sponsored legislation, House File 558, which loosened amusement park safety rules. However, Nunn's campaign disputes this, stating that the legislation aimed to improve workforce opportunities and minimize unemployment in Iowa. Additionally, the ad suggests that Gov. Kim Reynolds signed the bill into law, and Nunn's response refutes the ad's claims. Paige Godden, a representative from Cindy Axne's campaign, defends the ad's messaging.	NW	0	0	0	0	0
24	Falleció el papa emérito Benedicto XVI.	FALSE	A false claim about the death of Pope Emeritus Benedict XVI circulated on Instagram. The rumor originated from a Twitter account impersonating Georg Bätzing, the President of the German Episcopal Conference. The Vatican and legitimate news sources have not confirmed the alleged death. The Council of Latin American Bishops labeled it as false. Tommasso Debenedetti, known for spreading fake news, and the @BischofBatzing Twitter account were involved in the false claim.	NW	1	1	1	0	1
25	"The Biden administration ""published a study concluding 4 (of) 5 new cars on the road by 2050 will still require liquid fuels."""	TRUE	Iowa, the leading state in biofuel production from farm crops, has a capacity to produce 4.6 billion gallons of biofuels, double that of the second-ranking state, Nebraska. The biofuels industry in Iowa, supported by congressional members from both parties, urges President Joe Biden to fulfill his promise of expanding support for biofuels. This call for support stems from the fact that 79% of vehicles on the road in the United States are projected to require liquid fuels, and biofuels are an essential component of that category.	W	1	1	1	1	1
26	“Florida Highway Patrol has a semi-truck … The FHP uses a fleet of three such ‘hidden in plain sight’ trucks to snitch on bad drivers.”	mostly-true	Facebook post reveals that Florida Highway Patrol (FHP) uses semitrucks as patrol vehicles to snitch on bad drivers and occasionally make traffic stops.	NW	1	1	1	1	1
27	“Mike Lee advised Trump's legal challenges to overturn our election” and “was one of only two senators who was in on the scheme.”	half-true	Kael Weston is campaigning as a Democrat; Pressure on the Utah Democratic Party to not field a candidate in hopes of boosting McMullin's chances; The Utah race could impact which party controls the Senate.	NW	0	0	0	0	0
28	Scam artists are using Amazon to send people face masks laced with “something toxic.”	FALSE	Local police have not heard of any reports of toxic masks in unsolicited packages. The U.S. Postal Inspection Service advises calling the police or following their suspicious-mail page if there are safety concerns about the package.	W	1	1	1	0	1
29	“In Texas, because of the laws they passed, a 95-year-old World War II veteran is being denied the right to vote by mail because he can't produce a registration number he got back in the 1950s.”	half-true	The Texas Secretary of State's office advises county officials and voters who lack ID information on their voter registration record to update their records. The state's new elections law, requiring ID information on mail ballot applications, has caused confusion and rejections. The office reports that as of December 20, around 100,000 registered Texas voters do not have identification numbers on their voter registration records. While Kenneth Thompson, a World War II veteran, is able to update his registration and apply for a mail ballot, concerns remain about other senior citizens who may struggle to navigate the process.	U	0	0	0	0	0
30	“Finland joins NATO.”	barely-true	Finland plans to join NATO in response to Russia's invasion of Ukraine, pending parliamentary approval. Turkey has expressed concerns about Finland's NATO membership, but it doesn't intend to block it. Once Finland formally applies, there may be a quick ratification process by member countries of around six months.	NW	1	1	0	1	1
31	“Zack Nunn saved over 2,000 Americans abandoned in Afghanistan by leading private rescue missions.”	half-true	Jesse Jensen, co-founder of Task Force Argo along with Zach Nunn, has been helpful in supporting a bill called the Afghan Adjustment Act, which aims to give Afghan immigrants permanent legal residency and a pathway to U.S. citizenship. Task Force Argo has collaborated with other groups like #AfghanEvac and has been commended for their efforts in assisting Afghans and providing much-needed support. While the ad for Zach Nunn's congressional campaign exaggerated the number of Americans saved, Nunn and Task Force Argo have been actively involved in the evacuation of Americans and at-risk Afghan nationals.	NW	0	0	0	0	0
32	“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.”	barely-true	Leading Democrats are urging support for independent candidate Evan McMullin in an effort to defeat two-term Republican Sen. Mike Lee in Utah's U.S. Senate race. The race in heavily Republican Utah could play a role in determining Senate control, which is currently split 50-50. McMullin's campaign has raised more money than Lee's in the final quarter of 2021. Although the race is considered safe Republican, some Democrats believe a Democrat cannot win statewide in Utah. Lee is also facing primary challenges from Becky Edwards and Ally Isom.	NW	0	0	0	0	0
33	In his election as governor, “We won cities that no Republican had ever won.”	FALSE	In the 2021 Virginia gubernatorial election, Glenn Youngkin and his running mates became the first Republicans to win a statewide election in Virginia since 2009. Youngkin won with 50.6% of the vote, defeating Democrat Terry McAuliffe. Youngkin's claim that he won cities that no Republican had ever won before is fact-checked and proven false. He won 14 cities, all of which had been previously won by another Republican candidate in past elections.	W	1	1	1	1	1
34	“Only 16% Of Canadians Would SUPPORT Trudeau After Trucker Protest!”	barely-true	CNN refuted claims made by a Fox contributor and the right-wing Washington Examiner that only 16% of Canadians want Trudeau back as prime minister or would vote for him again based on the poll about his handling of the trucker protest. The poll did not ask participants if they would support or vote for Trudeau, so it is not accurate to make those claims. The Facebook post distorts the meaning of the poll results.	W	0	0	0	0	0
35	Abortion is available at any point of pregnancy and for any reason in Alaska, Colorado, New Jersey, New Mexico, Oregon and Vermont.	barely-true	Focus on the Family celebrated the Supreme Court's decision on Roe v. Wade, and later ran ads against late-term abortions in certain states. These ads made exaggerated claims about the availability of abortions throughout the entire nine months of pregnancy in certain states. While the laws in Alaska, Colorado, New Jersey, New Mexico, Oregon, and Vermont do not explicitly prohibit abortions at any stage of pregnancy, abortions later in pregnancy are rare and usually only performed for urgent medical reasons. The CDC reports that less than 1% of abortions are performed at or after 21 weeks of pregnancy.	NW	0	0	0	0	0
36	"""Ron Johnson has voted against funding for law enforcement and recently opposed a plan to recruit and train new officers """	FALSE	Barnes accuses Johnson of voting against funding for law enforcement and opposing a plan to recruit and train new officers. However, the evidence for both claims is weak. Johnson's vote against the American Rescue Plan Act does not equate to voting against law enforcement funding. The relief package provided flexibility for state and local governments to use funds for essential workers, including law enforcement, but it did not guarantee direct support. It is crucial to distinguish between one-time cash injections and existing funding. Additionally, Johnson has backed measures and received endorsements from police groups, indicating Democratic support for law enforcement.	U	0	0	0	0	0
37	"""Over time there have been 160-some carve-outs to the filibuster."""	mostly-true	Past carve-outs have mostly been enacted through statutes, unlike the voting rights carve-out being proposed. However, if a voting rights carve-out is enacted, the line between carve-outs and filibuster reform may blur.	W	0	0	0	0	0
38	Gov. Tony Evers has “only gotten one-third of the money meant for COVID relief out the door. He is sitting on $930 million in ARPA funds left unspent. In fact, he still has CARES Act money from two years ago.”	mostly-true	As of Dec. 31, 2021, Wisconsin had expended or obligated nearly $750 million of the funding received through the American Rescue Plan Act, which is required to be allocated by the end of 2024 and spent by the end of 2026. This does not include programs announced in this year. Democratic Gov. Tony Evers' team argues that having nearly $750 million of funds expended or obligated within a year's time, with five years available to spend the funds, meets the definition of 'acting quickly.' Additionally, all $2 billion in CARES Act funding has been allocated, with only about 1% remaining to be spent.	U	0	0	1	0	0
39	“Iowans are paying $5,000 extra for everyday goods under Biden and Axne’s inflation.”	half-true	According to a report from the Republican side of Congress Joint Economic Committee, Iowans were projected to pay $7,997 more for goods in 2022 compared to January 2021, resulting in a 13.7% inflation rate since the start of 2021. However, the U.S. Bureau of Labor Statistics reported an 8.1% inflation rate in the Midwest region over the past year. Republican Rep. Zach Nunn blames Democrats, including Cindy Axne and President Biden, for inflation, but experts argue that supply shortages and strong demand are also contributing factors.	W	0	0	0	0	0
40	“When I became mayor of the City of Richmond in 2004, the crime rate was at its highest. When I left in 2008, it was at its lowest.”	half-true	Addressing crime prevention requires a holistic approach that considers factors such as education, employment, poverty, housing, and health services. The increase in homicides in the US in 2020, and potentially 2021, is attributed to isolation, economic distress caused by COVID-19, and conflicts arising from social media use. Wilder's emphasis on public safety is aligned with the need for comprehensive strategies to address crime levels.	W	0	0	0	0	0
41	"""Deidre DeJear refused to stand for police."""	half-true	Iowa Gov. Kim Reynolds released a campaign ad criticizing opponent Deidre DeJear for not standing for police during a state address. The ad shows a photo of DeJear sitting during a standing ovation for law enforcement. DeJear's campaign said she sat to protest Reynolds' lack of support for law enforcement. DeJear has consistently stated her support for programs that can help police, such as reducing recidivism and improving mental health care access. The 'Defund the Police' movement gained traction after the killing of George Floyd by Derek Chauvin.	NW	0	0	0	0	0
42	“Elon Musk just fired the entire Twitter board of directors.”	FALSE	Elon Musk's bid to buy Twitter has not been finalized yet.	NW	1	1	1	1	1
43	Binding masks to your face with gauze and wrapping pantyhose around your face and mask are now “suggestions to make your mask more ‘effective.’”	half-true	In the study on improving mask fit, researchers tested the performance of KN95 and surgical masks with various 'fit hacks'. The researchers found that nearly all of the 'fit hacks' improved mask fit and effectiveness. The most effective hack was using a layer of pantyhose to hold the mask tightly to the face. However, the researchers mentioned that many of the 'fit hacks' were uncomfortable and may not be practical for everyday use.	NW	0	0	0	0	0
44	“Marco Rubio le ha votado en contra a los Dreamers”.	half-true	A campaign ad on Facebook in Spanish criticizes Senator Marco Rubio for his votes on the DACA program, accusing him of voting against Dreamers and their dreams for a better future. The ad fails to mention that Rubio supported a proposal that included a pathway to citizenship for DACA recipients. While Rubio argues that the program was created illegally and should be replaced with a permanent legislative solution, he has expressed different views on when to end the program. Rubio believes Congress should address the issue instead of relying on the President's executive authority.	W	0	0	0	0	0
45	“Overdoses in Virginia (are) up 35%.”	mostly-true	Del. John McGuire, R-Goochland, blames President Biden for the surge in overdose deaths in Virginia. CDC estimates show a 35.5% increase in overdoses from April 2020 to April 2021. The Virginia Department of Health reported a 51% rise in drug fatalities from April 2020 to March 2021. Experts attribute the increase to the spread of fentanyl and the impact of the pandemic, including factors like the lockdown affecting access to treatment programs.	NW	0	1	1	0	1
46	"Mo Brooks ""voted to cut off funding to destroy ISIS terrorists in the middle of the fight."""	barely-true	Alabama's Future, a super PAC, attacks U.S. Rep. Mo Brooks in ads for his bid for a Senate seat. The ads claim that Brooks voted to cut off funding for the fight against ISIS, but experts say the amendments he voted for were more about congressional war powers. The amendments, which took place in 2015 and 2016, were not direct votes on funding but required congressional authorization for military action against ISIS. Brooks is facing two other major GOP contenders, Katie Britt and Mike Durant, in the primary.	W	1	1	0	0	1
47	"Sen. Marco Rubio ""helped write the law to raise prescription prices."""	mostly-true	Rubio's campaign argued that the Inflation Reduction Act provisions would harm drug innovation. Experts agree that higher drug prices could incentivize manufacturers to develop new drugs, but there is disagreement on the extent of the effects.	NW	1	1	1	1	1
48	A chart shows China and India are leading in per capita carbon dioxide emissions.	half-true	Hannah Ritchie, a senior researcher for Our World in Data, explained that the significant increase in CO2 emissions in China and India compared to declines in the U.S. and other developed countries is due to the fact that China and India had low emissions in 1990 while the other countries already had high emissions. Ritchie also provided a different chart that shows the actual change in per capita emissions over time, with the U.S. and Japan leading in per capita CO2 emissions.	NW	0	0	0	0	0
49	In 2020, when Raphael Warnock ran a campaign ad featuring himself with a beagle, “that wasn’t his dog.”	TRUE	Warnock has owned dogs before, including Comet, Cupid, and Brenal, but didn't currently have a dog when the ad was filmed.	W	0	0	0	0	0
50	Texas' public high school graduation rate is at 90% overall.	TRUE	Governor Greg Abbott's campaign praised the education system in Texas, highlighting wins in K-12 and higher education. Texas has a 90% overall high school graduation rate, with efforts to improve rates ongoing under Abbott's leadership. Texas has consistently ranked among the top states for high school graduation rates and surpasses the national average. The state is not afraid to make changes and try new strategies to improve education. Texas is making improvements in all metrics related to graduation rates and attrition rates.	NW	0	0	0	0	0
51	Says he led the fight to add 200 new police officers to make the City of Milwaukee safer.	half-true	The 2020 COPS Hiring Program Grant provided federal funding to bring on new police officers in order to address violent crime. Acting Mayor Cavalier Johnson consistently voted in favor of this grant while it was being considered by the Common Council. The grant was approved and signed by then-Mayor Tom Barrett on January 19, 2021. This federal funding, combined with the funding for 195 new recruits, helped maintain the size of the Milwaukee Police Department's force.	NW	0	0	0	0	0
52	"""U.S. households are on track to spend $19 billion more on energy by 2030."""	half-true	Williams' statistic of U.S. households spending $19 billion more on energy by 2030 is specific to a proposed ban on new leasing and development for oil and gas operations. Household energy prices are challenging to forecast due to various factors, including Biden's energy policies. According to the Energy Information Administration, under current laws and regulations, residential non-renewable energy expenditures are projected to increase by $18 billion.	W	0	0	0	0	0
53	Image shows a Rebekah Jones campaign event.	barely-true	U.S. Rep. Matt Gaetz misleadingly compared support at his campaign event to that of his Democratic opponent. Gaetz's photo showed a crowded room of supporters, while the opponent's photo depicted a booth at a holistic wellness expo. However, the expo's owner confirmed it was not a political campaign event. The opponent, Rebekah Jones, explained that her son, who has autism, needed a quiet moment. Gaetz's claim neglects these critical facts and provides a false impression.	NW	0	0	0	0	0
54	Jim Jordan said, “It’s finally happening! Adam Schiff will be impeached.”	pants-fire	‘It's finally happening! Adam Schiff will be IMPEACHED’ - Brave Jim Jordan SHUTS DOWN Schiff,	W	1	1	1	1	1
55	The World Economic Forum has called for the end of “wasteful private car ownership.”	barely-true	The World Economic Forum highlights the problem of unused cars and suggests car-sharing as a solution to free up resources for other uses. The forum's article emphasizes the need for a transition from ownership to usership to reduce the number of undriven cars and conserve precious metals used in clean energy technologies. It calls for a broader mindset that redesigns cities to reduce private vehicles and promotes the repurposing of car technologies, such as electric car batteries with remaining capacity.	NW	0	0	0	0	0
56	Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.	FALSE	Facebook flags video game footage amid Ukraine's war. The clip titled 'Russian pilot escapes from jets - Russian SU-25 hit by Missile' depicts firefights in the sky as helicopters and jets dodge enemy weapons. It is a clip from the video game Arma 3, causing confusion on Facebook.	U	1	1	1	1	1
57	There are now zero students, staff or anyone “related to the school system” in Union County” hospitalized with COVID-19, despite harsh criticism of school COVID policy.	half-true	Sandeep Patel, a physician and member of the SOS Union County group, has criticized the lack of temporary measures implemented by the Union County school board to reduce COVID-19 transmission. Patel argues that the response should be evaluated based on the board's actions during the worst surge in cases. While the Union County school system stated that no employees were hospitalized with COVID-19 on the day in question, it does not track the health status of individuals who work with the schools but are not school system employees.	W	0	0	0	0	0
58	Virginia’s “education standards for math and reading are now the lowest in the nation.”	half-true	Virginia's standards for reading and math in fourth and eighth grades were the lowest among measured states.	NW	1	1	1	1	0
59	"Image claims to show a list of ""Republican members of Congress whose PPP loans were forgiven."""	TRUE	The Center for American Progress Action responds to Republican critics of student debt cancellation, such as the House Judiciary GOP, by sharing screenshots of Paycheck Protection Program loan forgiveness benefiting these same members.	W	1	1	0	1	1
60	"Kari Lake and Mark Finchem “have said that they will only honor the results of an election if they agree with it."""	mostly-true	Liz Cheney's ad criticizes Kari Lake and Mark Finchem for being election deniers. Lake, running for governor, has said she will accept the results of a fair, honest, and transparent election. Finchem, running for secretary of state, has not committed to certifying Arizona's vote in the 2024 presidential election. Cheney launched her political action committee after being defeated by Harriet Hageman, who was endorsed by Donald Trump. The PAC aims to educate the public about the threats to the republic and mobilize against any Trump campaign for president.	NW	1	0	0	1	0
61	Lee Zeldin “voted for abortion bans even when the mother’s health is at risk.”	mostly-true	Doctors and experts argue that without a health exception, healthcare providers can be fearful about providing the necessary treatment. Dr. Jen Villavicencio said that the progression of pregnancy and associated complications vary, making a health exception necessary. Dr. Anthony Levatino argued that abortion isn't necessarily required later in pregnancy and that delivering the baby can save the mother's life.	W	0	0	0	0	0
62	Video shows Donald Trump at an Alabama rally on July 13, 2022.	FALSE	A video falsely timestamped as live on Facebook shows former President Donald Trump at a rally in Cullman, Alabama on Aug. 21, 2021. The footage is authentic, but the timestamp is inaccurate. During the rally, Trump discussed President Joe Biden, the situation in Afghanistan, and recommended his supporters get a COVID-19 vaccine, which was met with boos.	W	0	1	0	0	1
63	“Mandela Barnes…wants to release 50% of the prison population when 68% is classified as ‘violent offenders.’”	half-true	Republicans criticize U.S. Senate candidate Mandela Barnes for his stance on crime and punishment, asserting that he wants to release 50% of Wisconsin's prison population, including violent offenders. However, Barnes advocates reducing the prison population gradually. The National Republican Senatorial Committee accuses Barnes based on his involvement with the 11x15 campaign. Data reveals that violent offenders make up 66% of the prison population, while property-related offenses account for 13%, drug-related offenses for 12%, and public order offenses for 9%.	W	0	0	0	0	0
64	“An extra 2 whole months and 15 days. That’s how long it takes for white women to make the same amount men made in the same job last year. And it's even worse for women of color.”	barely-true	U.S. Sen. Tammy Duckworth claims the gender pay gap is bad for white women doing the same job as men and it's even worse for \	NW	0	0	0	0	0
65	“The Loudoun County School Board spent about $300,000 (last year) … to bring CRT in some form or fashion to the school system.”	barely-true	Lt. Gov. Winsome Earle-Sears claimed that Loudoun County School Board spent about $300,000 last year to bring critical race theory to the school system. However, records show that the money was spent between September 2018 and June 2020, primarily on equity efforts. While the school system did pay $34,167 for seminars on critical race theory, critics argue that the majority of the spending was focused on improving racial equity and fairness in schools, not on teaching CRT to students.	W	1	1	1	1	1
66	"""With three months remaining in the Fiscal Year, (the border patrol) has already encountered more illegal immigrants along the Southwest border"" than in any previous fiscal year."	mostly-true	Jessica Botler from the Migration Policy Institute noted that 2 million apprehensions at the southwest border does not mean 2 million migrants. It can be the same person attempting to cross multiple times. U.S. Customs and Border Protection explained that total encounters somewhat overstate the number of unique individuals arriving at the border due to the large number of expulsions during the pandemic. Representative Glenn Grothman accurately claims that the border patrol has already encountered more illegal immigrants along the Southwest border than in any previous fiscal year.	NW	0	0	0	0	0
67	Video shows a Ukrainian fighter pilot shooting down a Russian plane.	FALSE	A simulation video on Facebook claims to show the 'Ghost of Kyiv' (a Ukrainian MiG-29 fighter pilot) shooting down a Russian plane. However, the video is from a video game called Digital Combat Simulator. It is unclear whether the pilot actually exists. Reports suggest that the Ghost of Kyiv downed six Russian planes on the first day of the invasion, although experts doubt this. The Ukrainian Armed Forces reported shooting down five Russian aircraft and a helicopter, but the Russian military denied these reports. Former Ukrainian President Petro Poroshenko referenced the Ghost of Kyiv in social media posts.	NW	0	0	0	0	0
68	“Wages have gone up higher, faster than inflation.”	barely-true	Biden said that 'wages have gone up higher, faster than inflation.' That was the case in August and September. But the gains from those two months are only starting to dig inflation-adjusted wages out of the hole they fell into during the first seven months of Biden’s tenure.	NW	0	0	0	0	0
69	“Most Americans on minimum wage earn less than a Dickensian allegory for destitution.”	half-true	James Kincaid, an expert on Charles Dickens, disagrees with the claim made in a social media post regarding Bob Cratchit's wages in 'A Christmas Carol.' Kincaid argues that the post falsely suggests that organized labor efforts have made no progress, ignoring the gains made by workers. He explains that the average worker during the Victorian era worked long hours and that there is no straightforward way to convert Cratchit's wages to today's U.S. wages. Kincaid emphasizes that Dickens and his readers had a clear understanding of what constituted a barely-above-starvation wage for a worker like Cratchit and his family.	NW	0	0	0	0	0
70	An image shows “a medical oddity that is characterized by having two pupils in each eyeball.”	FALSE	Medical oddity Pupula duplex, featuring two pupils in an eye, goes viral on social media, astonishing ophthalmologists.	NW	0	0	0	0	0
